City,14-Jan,14-Feb,14-Mar,14-Apr,14-May,14-Jun,14-Jul,14-Aug,14-Sep,14-Oct,14-Nov,14-Dec,15-Jan,15-Feb,15-Mar,15-Apr,15-May,15-Jun,15-Jul,15-Aug,15-Sep,15-Oct,15-Nov,15-Dec,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,21-Jan,21-Feb,21-Mar,21-Apr
CA,412820,406460,437100,448720,465470,457700,464750,481250,462380,450460,444630,453270,428980,429930,464640,484370,489190,492250,490780,497520,484670,478780,477060,489770,467160,444780,484120,509240,519930,518980,511420,527490,516450,513520,502490,510560,491840,480270,518600,537950,550239,555410,549460,565330,555410,546430,546820,546550,527780,522440,564830,584460,600860,602770,591230,595920,578420,572000,554240,557740,536830,534120,565740,603030,610940,610720,607990,617410,605680,605280,589770,614880,575160,579770,612440,606410,588070,626170,666320,706900,712430,711300,698980,717930,699920,699000,758990,813980
Alameda,559110,572630,623110,656140,680020,695210,688870,691500,652610,659660,670320,645680,610130,651950,713060,742340,763740,750000,765000,735000,731000,710000,730000,731500,700000,715000,758000,800000,828000,803000,800000,775000,760000,775000,800000,755000,755000,786000,833750,875000,862000,900000,875500,867500,853000,862450,880000,862000,840000,832000,955000,969300,1025000,1015000,970000,960000,900000,900000,900000,850000,826000,860000,911000,940000,959000,960000,950000,905500,910000,925000,910000,881500,875000,945000,970500,1030000,955000,976000,1027500,1028220,1050000,1049000,1049040,1060000,1060000,1100000,1163000,1300000
Amador,180000,206250,214290,190000,242860,238890,247500,211110,225000,265000,231250,229540,210710,271430,250000,227500,233330,256250,287000,335000,240500,267000,285000,275000,215500,275000,307000,235000,268500,319000,275000,257500,243500,276500,275000,272500,295000,265000,314900,327000,350000,337500,320000,334500,315000,309000,348950,305000,330000,318500,340000,335000,331500,335000,327000,335000,325500,325000,312500,314720,324000,316000,320000,336500,342750,320000,312500,329000,325000,322000,348500,300000,335000,328000,335000,350000,321000,337500,355000,353500,359900,366500,360000,355000,386250,406280,430000,415000
Butte,227500,217650,221550,231670,237880,245000,276140,241450,235710,233780,241910,231820,231730,247320,233930,253850,261110,253660,265000,264250,248000,262000,235000,256500,260000,264960,286810,272750,271000,275000,288750,264120,275000,293000,279000,294250,264000,290000,287500,302900,308000,306500,299900,291000,311900,307700,315000,304000,314750,297000,315000,316000,324100,323000,315000,315000,320000,318000,326940,356560,376000,345450,369000,360000,359000,384000,374280,353150,358750,358250,350000,351720,355860,338750,365000,377500,362000,390000,395000,415000,403300,401500,405000,408460,420000,397000,406000,438500
Calaveras,204167,220454,238888,239062,243332,253409,240789,240000,233330,247370,230550,243750,228120,230000,258330,258330,296870,256580,270000,249000,262000,246940,246250,270000,258750,262500,270000,276000,287500,315000,291000,310000,285000,300050,268500,288000,285000,294500,292000,318500,300000,310000,324500,345000,340000,298000,318000,285000,306500,311500,325000,340000,329000,313000,330000,340000,328000,302500,325000,310000,335000,340000,308250,340000,375000,330000,325500,346360,330000,356110,343500,339500,343500,355000,352000,332250,330000,363000,349900,381000,392000,393640,407120,397500,398500,441500,435850,475000
Contra-Costa,397760,441280,464350,494280,519670,510990,546580,538510,499220,490480,457630,483330,442440,476340,491780,553030,557060,555000,550000,560000,525000,505000,550000,500000,500000,529000,548780,565000,595000,625000,625000,570000,549900,535650,569000,550000,540000,554250,585000,653694,653000,660000,633250,627860,605000,615000,615000,600000,555000,610000,655000,689660,687500,702370,680000,650000,650000,657000,641000,612500,595000,649480,644000,679000,700360,698000,660000,672750,656000,681250,640000,665000,614000,635250,711000,710000,690000,750500,785000,805000,783000,787250,810000,763000,765000,817500,920000,990000
Del Norte,130000,225000,160000,160000,170000,200000,163333,157500,140000,157500,132500,155000,160000,200000,140000,132220,170000,212500,206000,190000,216500,249000,265000,195000,157000,175000,199000,315000,189500,198750,201280,174500,239500,264500,225000,232250,218500,265000,130000,239000,220000,165000,204900,214950,224300,220000,214000,251500,198500,216500,200000,239000,214000,312500,210000,249900,205000,223000,250000,243900,217000,245000,253020,216500,256850,353500,275000,264180,280000,247500,252500,276780,227000,297000,233500,240000,338450,242000,332000,283500,308000,325000,308750,346000,399000,359000,309000,364170
El Dorado,335000,332050,385710,366950,374240,372950,385160,391670,364650,355800,374540,385230,375000,384880,393400,405170,436510,410320,420750,383000,399000,385000,394950,413750,405000,422000,435010,432000,429500,461550,425000,425000,419000,419000,442000,434500,414250,419500,450000,474500,469000,499000,480500,485000,449950,445000,470000,450000,480000,468000,510000,499999,552000,525000,504000,480000,465000,500000,461750,454500,460000,495000,506160,524000,521380,497500,510500,525000,489900,490000,485000,465000,442120,465000,507500,500000,535000,510000,550000,570000,588000,559000,585000,538350,600000,577500,652500,654750
Fresno,184120,182270,202100,192880,199540,201080,201530,203760,208210,200600,200000,204430,211470,210320,213960,217510,216110,223150,225000,220000,220000,215000,225000,225000,216000,214250,231000,229000,232000,241000,235700,239000,240000,240000,238000,239500,238000,230000,247250,244090,250000,260000,258000,259000,265000,254950,264000,259750,245450,266440,264950,260000,279980,275500,280000,280000,267000,272000,265750,266500,270000,265000,280000,271250,284900,283000,284400,285000,296000,287000,291500,285000,289950,289950,282500,290000,295000,313950,320000,322000,325000,331500,323500,325500,325000,350000,350000,355000
Glenn,180000,200000,140000,170000,152500,175000,145000,170000,147500,167500,95000,176670,162500,220000,190000,153330,170000,253120,177500,206000,231250,201500,190000,174500,159975,197500,196000,225000,175000,205000,225000,230500,220500,185050,215000,197500,221000,181500,211000,230000,200000,210000,205000,225000,207500,215000,232000,230000,228500,219600,244500,215000,230000,227710,235000,225500,227500,253000,225000,246500,225000,281000,250000,241250,245000,250000,268750,270000,266500,245000,330000,252000,315000,288250,288500,282000,323250,295000,257500,263500,347520,287500,334750,297500,247500,319500,325000,302500
