Latitude,Longitude,City
37.7799,-122.2822,Alameda
37.155177,-119.543418,Amador
39.6254,-121.537,Butte
37.155177,-119.543418,Calaveras
34.839964,-115.967051,Contra-Costa
41.7076,-123.966,Del Norte
38.676272,-120.84598,El Dorado
36.8411,-119.801015,Fresno
39.596546,-122.032181,Glenn
40.745,-123.8695,Humboldt
37.155177,-119.543418,Kern
36.0988,-119.8815,Kings
38.25047,-121.509397,Lake
40.5394,-120.712,Lassen
33.973951,-118.248405,Los Angeles
36.928286,-120.182423,Madera
36.6844,-121.80217,Marin
37.572907,-120.018973,Mariposa
39.319949,-123.734377,Mendocino
37.345785,-120.42415,Merced
37.155177,-119.543418,Mono
36.57485,-121.840727,Monterey
38.442011,-122.23832,Napa
38.134068,-122.52719,Nevada
33.640302,-117.769442,Orange
39.0916,-120.8039,Placer
37.155177,-119.543418,Plumas
33.99504,-117.373184,Riverside
38.380456,-121.555406,Sacramento
36.509685,-121.08186,San Benito
34.104794,-117.29215,San Bernardino
32.724103,-117.170912,San Diego
37.776646,-122.417481,San Francisco
36.60662,-120.18904,San Joaquin
35.265573,-120.62122,San Luis Obispo
37.573485,-122.32253,San Mateo
34.421897,-119.707135,Santa Barbara
37.351158,-121.952295,Santa Clara
37.052748,-122.111126,Santa Cruz
40.601263,-122.494455,Shasta
37.155177,-119.543418,Siskiyou
38.3105,-121.9018,Solano
38.255943,-122.476819,Sonoma
37.155177,-119.543418,Stanislaus
39.172636,-121.80251,Sutter
40.0271,-122.12332,Tehama
36.133527,-119.299856,Tulare
37.921694,-120.267887,Tuolumne
34.330829,-119.358352,Ventura
38.73185,-121.80774,Yolo
39.2547,-239.6436,Yuba
34.0522,-118.2437,LA Metro
35.6,-121.1,Central Coast
40.1999,-122.2011,Central Valley
,,Far North
34.9592,-116.4194,Inland Empire
37.8272,-122.2913,S.F. Bay Area
34.9592,-116.4149,SoCal
